Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s4;P7420s3;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
4026356;1;1;1;70;05;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;1;5040;04;05;1293,50808785781
4026356;1;2;1;70;05;4;48;1; ;2;48;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;04;05;1293,50808785781
4026361;1;1;1;70;05;4;25;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;04;05;1156,73552080879
4026361;1;4;1;70;05;4;48;1; ;2;20;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;37;74;1;1;7411;04;05;1156,73552080879
4026399;1;2;1;70;08;12;48;1; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;24;1;1;2423;04;08;495,683410264914
4026400;1;2;1;70;08;101;40;2; ;2;101;2; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8044;04;08;548,638971867592
4026402;1;2;1;70;08;16;48;1; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;97;51;1;2;5139;04;08;466,638992300272
4026403;7;1;7;70;08;32;48;1; ;2;32;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;40;52;1;2;5246;04;08;313,243479390036
4026414;1;1;1;70;08;12;48;1; ;2;12;2; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;58;75;1;1;7524;04;08;523,140265411832
4026420;1;7;1;70;08;12;48;1; ;2;16;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;55;55;45;1;1;4522;04;08;792,255457312723
4026427;1;2;1;70;08;12;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;05; ; ;1;1; ;04;08;621,420859659503
4026437;1;5;1;70;08;5;40;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;30;85;1;1;8532;04;08;686,807740718154
4026439;1;4;1;70;08;14;48;1; ;2;60;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;32;60;1;2;6042;04;08;418,181828399361
4026442;1;1;1;70;08;156;48;4; ;2;156;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;45;52;1;2;5262;04;08;505,828007617871
4026461;1;1;1;70;08;24;48;1; ;2;360;2; ;9;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;58;58;75;1;2;7512;04;08;570,210377526873
4026462;1;12;1;70;08;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;53;55;1;1;5529;04;08;266,030760364501
4026472;1;3;1;70;08;14;48;1; ;2;14;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;2;5234;04;08;519,382436030463
4026485;1;3;1;70;08;24;24;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;2;8512;04;08;2092,56106164733
4026488;1;1;1;70;08;16;48;1; ;2;16;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;51;1;2;5170;04;08;2092,56106164733
4026491;1;3;1;70;08;20;20;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;38;74;1;2;7499;04;08;539,626538962767
4026498;1;3;1;70;08;16;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;04;08;416,404084969572
4026505;1;2;1;70;08;4;48;1; ;2;240;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;04;08;2183,54261454349
4026523;1;2;1;70;08;4;48;1; ;2;56;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;74;1;1;7491;04;08;523,140265411832
4026527;1;6;1;70;08;4;48;3; ;2;8;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;95;1;1;9500;04;08;730,804932542065
4026536;1;3;1;70;08;48;48;1; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;38;74;1;2;7499;04;08;586,060970454722
4026537;1;3;1;70;08;12;48;1; ;2;16;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;26;1;1;2693;04;08;842,252579907202
4026543;1;4;1;70;08;2;48;1; ;2;2;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;45;38;64;1;1;6421;04;08;819,669700130657
4026546;1;2;1;70;08;12;48;1; ;2;51;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;33;65;1;1;6512;04;08;626,4346950364
4026548;1;2;1;70;08;2;48;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;1;5511;04;08;266,030760364501
4026548;1;8;1;70;08;6;48;1; ;2;36;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;55;1;1;5511;04;08;266,030760364501
4026554;1;4;1;70;08;4;48;1; ;2;16;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;50;1;1;5020;04;08;456,461730987574
4026555;1;3;1;70;08;4;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;18; ; ;1;1; ;04;08;491,821620192356
4026556;1;2;1;70;08;4;48;1; ;2;4;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;03;03;28;1;1;2811;04;08;437,588115333727
4026558;1;3;1;70;08;1;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;61;01;1;1;0118;04;08;778,463244163911
4026562;1;2;1;70;08;8;48;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;63;1;1;6333;04;08;486,8404487752
4026564;1;8;1;70;08;12;24;1; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;13;80;1;1;8041;04;08;525,701636873914
4026572;1;2;1;70;08;12;48;1; ;2;12;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;33;33;91;1;1;9111;04;08;617,663030278134
4026573;1;3;1;70;08;20;48;1; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;74;1;2;7499;04;08;586,060970454722
4026581;1;1;1;70;08;12;48;1; ;2;56;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;52;1;1;5231;04;08;423,029175771486
4026606;1;2;1;70;11;12;48;1; ;2;40;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;92;1;1;9213;04;11;3494,20969329885
4026618;1;2;1;70;11;4;72;1; ;2;4;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;87;87;70;1;1;7010;04;11;2919,17753912996
4026620;1;1;1;70;11;4;48;1; ;2;4;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;98;2;39;95;70;1;1;7010;04;11;3202,5325502752
4026626;1;2;1;70;11;160;48;1; ;2;160;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;18;13;80;1;2;8043;04;11;2351,8632884798
4026627;1;3;1;70;11;48;48;4; ;2;4;4; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;03;03;85;1;2;8511;04;11;2821,19804191968
4026627;1;4;1;70;11;48;48;1; ;2;2;4; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;53;32;74;1;2;7491;04;11;2821,19804191968
4026630;1;2;1;70;11;32;48;1; ;2;32;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;21;21;80;1;2;8050;04;11;2473,46656033226
4026631;1;1;1;70;11;72;48;1; ;2;240;1; ;3;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;32;32;24;1;2;2423;04;11;2190,24111946865
4026631;1;2;1;70;11;144;48;4; ;2;144;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;39;38;74;1;2;7499;04;11;2190,24111946865
4026637;1;2;1;70;11;32;40;1; ;2;9;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7411;04;11;2574,39335173556
4026638;1;4;1;70;11;8;40;1; ;2;32;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;04;11;1616,37978523755
4026643;1;5;1;70;11;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;74;1;1;7499;04;11;2669,93643416487
4026647;1;2;1;70;11;8;48;1; ;2;8;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;80;1;1;8011;04;11;2869,78366145712
4026648;1;3;1;70;11;48;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;04;11;2494,94965600811
4026654;1;2;1;70;11;6;48;5; ;2;8;1; ;3;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;41;45;52;1;1;5222;04;11;1757,25265721415
4026665;1;4;1;70;11;4;34;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;53;55;1;1;5521;04;11;2472,72852117374
4026667;1;1;1;70;11;44;48;1; ;2;44;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;04;11;1464,73942270873
4026669;1;3;1;70;11;14;40;1; ;2;14;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;25;1;2;2529;04;11;2684,34415069314
4026670;1;1;1;70;11;2;48;1; ;2;2;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;689454;2;55;55;52;1;1;5211;04;11;2289,56548180561
4026678;1;2;1;70;11;12;56;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;1;5211;04;11;4069,24184746773
4026682;1;2;1;70;11;24;48;1; ;2;2;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;37;37;55;1;2;5521;04;11;3148,18127766181
4026687;1;1;1;70;11;4;50;4; ;2;16;5; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;95;95;45;1;1;4521;04;11;2982,82021093083
4026690;1;2;1;70;11;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;04;11;2638,03602353643
4026690;1;4;1;70;11;4;48;4; ;2;4;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;1;4542;04;11;2638,03602353643
4026702;1;4;1;70;11;16;24;1; ;2;16;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5219;04;11;5554,87207345666
4026703;1;1;1;70;11;8;48;3; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;04;11;1708,60304084771
4026717;1;1;1;70;11;2;60;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;550000;2;60;60;01;1;1;0118;04;11;1331,8999522096
4026717;1;6;1;70;11;12;48;1; ;2;12;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;04;11;1331,8999522096
4026721;1;2;1;70;11;24;48;2; ;2;24;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ;2; ;2;59;54;95;1;2;9500;04;11;2432,65184933393
4026743;1;2;1;70;11;8;54;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;04;11;2587,04961732778
4026745;1;2;1;70;11;4;48;1; ;2;4;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;98;2;44;44;65;1;1;6512;04;11;2765,27327363753
4026782;1;1;1;70;11;2;48;1; ;2;3;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;04;11;4030,9051374931
4026782;1;5;1;70;11;4;48;1; ;2;6;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;04;11;4030,9051374931
4026785;1;1;1;70;11;4;48;1; ;2;3;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;44;44;66;1;1;6602;04;11;2593,39411648772
4026793;1;1;1;70;11;52;48;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;58;74;1;2;7492;04;11;3131,16627965367
4026800;1;3;1;70;11;4;16;1; ;2;12;6; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;37;18;1;1;1810;04;11;2267,34434697124
4026800;1;4;1;70;11;8;24;1; ;2;8;6; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;18;1;1;1810;04;11;2267,34434697124
4026821;1;1;1;70;11;52;48;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;51;1;2;5125;04;11;3087,57489914228
4026825;1;2;1;70;11;4;48;1; ;2;24;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;16;45;1;1;4559;04;11;1617,85162303737
4026845;1;3;1;70;11;4;48;1; ;2;4;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;18;1;1;1810;04;11;1757,25265721415
4026861;1;2;1;70;13;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;1; ;04;13;420,56328786394
4026862;1;3;1;70;13;4;36;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;13;316,954562050051
4026865;1;3;1;70;13;24;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;04;13;365,981621028432
4026865;1;5;1;70;13;12;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;04;13;365,981621028432
4026872;1;4;1;70;13;48;48;1; ;2;52;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4530;04;13;315,17845373966
4026874;1;3;1;70;13;26;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;21; ; ;1;2; ;04;13;265,226851615815
4026874;1;4;1;70;13;35;48;1; ;2;35;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;32;80;1;2;8050;04;13;265,226851615815
4026879;1;2;1;70;13;48;48;4; ;2;6;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;50;1;2;5020;04;13;265,808348818467
4026903;1;1;1;70;13;4;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;04;13;402,9426682437
4026909;1;3;1;70;13;6;36;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;1; ;04;13;330,539968128258
4026910;1;3;1;70;13;15;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;04;13;321,90138500406
4026916;1;3;1;70;13;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;13;292,397663772229
4026925;1;2;1;70;13;2;48;1; ;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;689455;2;53;53;55;1;1;5521;04;13;352,021933222363
4026929;1;1;1;70;13;24;40;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;2;5211;04;13;325,312383746744
4026931;1;3;1;70;13;48;40;1; ;2;48;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;39;95;45;1;2;4521;04;13;335,773927803835
4026933;1;2;1;70;13;52;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7411;04;13;330,539968128258
4026951;1;3;1;70;13;26;48;1; ;2;26;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;45;52;1;2;5234;04;13;309,601448121271
4026958;1;1;1;70;13;16;40;1; ;2;16;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;2;1591;04;13;350,406351817621
4026964;1;2;1;70;13;48;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;04;13;279,903703039198
4026978;1;6;1;70;13;36;40;4; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;2;4552;04;13;352,538847233343
4026996;1;7;1;70;13;20;48;1; ;2;6;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;52;1;2;5272;04;13;304,59029986665
4026999;1;1;1;70;13;2;48;1; ;2;2;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;11;1;1;1120;04;13;270,958252221461
4027010;1;1;1;70;13;96;48;1; ;2;96;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;11;1;2;1120;04;13;308,999631083184
4027016;1;2;1;70;13;16;48;3; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;2;7493;04;13;389,156848505799
4027022;1;3;1;70;13;24;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;04;13;316,954562050051
4027023;1;2;1;70;13;3;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;98;2;95;95;45;1;1;4521;04;13;402,764652345268
4027023;1;4;1;70;13;24;40;1; ;2;24;1; ;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;03;03;64;1;2;6421;04;13;402,764652345268
4027028;1;3;1;70;13;48;40;1; ;2;48;1; ;4;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;03;03;45;1;2;4542;04;13;282,880982696038
4027029;1;2;1;70;13;28;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;04;13;287,163704096653
4027031;1;1;1;70;13;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;13;278,812257694022
4027033;1;2;1;70;13;12;48;1; ;2;13;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;04;13;333,663830149375
4027040;1;3;1;70;13;48;48;1; ;2;12;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;04;13;234,401909460326
4027046;1;3;1;70;13;12;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;1; ;04;13;243,787440065047
4027053;1;4;1;70;13;12;48;1; ;2;156;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;60;1;1;6022;04;13;377,079723043966
4027054;1;1;1;70;13;96;48;1; ;2;96;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;45;1;2;4530;04;13;316,954562050051
4027054;1;4;1;70;13;96;48;1; ;2;96;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;2;5511;04;13;316,954562050051
4027054;1;5;1;70;13;96;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;11; ; ;1;2; ;04;13;316,954562050051
4027278;1;3;1;70;17;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ;1; ; ; ; ; ;1;400000;2;33;33;52;1;1;5239;04;17;216,395429717853
4027279;1;1;1;70;17;8;48;1; ;2;144;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;04;17;147,223256885834
4027280;1;7;1;70;17;20;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;52;1;2;5224;04;17;260,533924830005
