DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5332874;1;4;1;70;17;1;48;48;1; ;2;48;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;41;95;95;1;2;01;4111;17;229,711956287597
5332876;1;1;1;70;17;1;48;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;49;98;98;1;2;01;4921;17;245,150747472213
5332881;1;3;1;70;15;1;12;48;2; ;2;12;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;84;02;02;1;1;01;8412;15;94,1284624729228
5332882;1;1;1;70;15;1;96;48;1; ;2;96;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;84;21;32;1;2;01;8412;15;169,906595592913
5332883;1;2;1;70;15;1;16;48;1; ;2;96;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;81;55;55;1;2;01;8121;15;135,643318487149
5332884;1;2;1;70;15;1;5;40;2; ;2;5;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;13;13;1;1;01;8530;15;145,967871320806
5332885;1;1;1;70;15;1;4;40;1; ;2;4;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;85;02;02;1;1;01;8544;15;118,791132419171
5332908;1;2;1;70;05;1;32;48;1; ;2;32;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;59;53;1;2;01;5611;05;1831,44874833055
5332908;1;5;1;70;05;1;10;48;1; ;2;40;5; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;96;13;57;1;1;01;9602;05;1831,44874833055
5332908;1;6;1;70;05;1;2;48;1; ;2;2;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1280000;877803;2; ;52;39;39;1;1;01;5224;05;1831,44874833055
5332912;1;3;1;70;05;1;24;48;1; ;2;24;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;86;03;03;1;2;01;8622;05;1271,44053351686
5332913;1;2;1;70;05;1;24;48;1; ;2;24;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;46;45;41;1;2;01;4631;05;831,02372422748
5332914;1;7;1;70;05;1;2;48;1; ;2;2;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;210000;877803;2; ;47;39;45;1;1;01;4773;05;1495,05005385848
5332929;1;2;1;70;15;1;4;40;1; ;2;52;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;80;12;12;1;1;01;8010;15;157,996985448592
5332929;1;3;1;70;15;1;20;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2500000; ; ; ;21; ;1;2;01;.;15;157,996985448592
5332931;1;1;1;70;15;1;36;40;1; ;2;36;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;42;02;02;1;2;01;4210;15;104,879132555598
5332937;1;3;1;70;15;1;52;40;2; ;2;104;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;85;13;13;1;2;01;8530;15;118,079356022432
5332941;1;1;1;70;63;1;2;48;1; ;2;2;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;877803;877803;2; ;46;45;45;1;1;01;4631;63;122,249461035827
5332965;1;2;1;70;63;1;15;48;1; ;2;15;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;33;33;1;2;01;5611;63;90,0611967369059
5332967;1;2;1;70;63;1;12;48;1; ;2;13;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;21;39;1;1;01;4711;63;74,4452587560938
5332969;1;2;1;70;63;1;8;48;1; ;2;48;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;55;39;39;1;1;01;5511;63;185,229871352459
5332969;1;4;1;70;63;1;52;48;1; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;31;81;81;1;2;01;3110;63;185,229871352459
5332970;1;1;1;70;63;1;18;54;1; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;80;95;58;1;2;01;8010;63;194,397577271449
5332974;1;1;1;70;50;1;30;48;3; ;2;34;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;54;54;1;2;01;9700;50;284,049150193907
5332976;1;3;1;70;50;1;12;60;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;47;45;45;1;1;01;4741;50;403,780058301576
5332980;1;1;1;70;50;1;8;48;1; ;2;10;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;68;58;58;1;1;01;6820;50;284,970774198321
5332986;1;2;1;70;68;1;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;84;19;39;1;1;01;8413;68;525,252063919691
5332990;1;2;1;70;68;1;8;40;4; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;81;55;55;1;1;01;8121;68;443,799336248695
5332991;1;1;1;70;68;1;20;50;1; ;2;52;5; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;41;95;95;1;2;01;4111;68;559,915894312244
5332994;1;1;1;70;68;1;4;48;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;840000;2; ;56;53;45;1;1;01;5619;68;310,953450847955
5333000;1;3;1;70;68;1;36;48;1; ;2;36;4; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;3500000;1;2;85;13;13;1;2;01;8544;68;637,522901210933
5333001;1;2;1;70;68;1;40;24;1; ;2;45;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;79;54;1;2;01;9700;68;300,6355500617
5333003;1;1;1;70;68;1;6;48;1; ;2;6;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;200000;2500000;1;1;85;13;13;1;1;01;8544;68;531,108713406777
5333021;1;1;1;70;41;1;50;45;1; ;2;60;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;06;71;71;1;2;01;0610;41;106,942752688566
5333022;1;3;1;70;41;1;10;50;1; ;2;15;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;49;98;98;1;1;01;4923;41;154,841154229811
5333030;1;1;1;70;63;1;4;48;1; ;2;4;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;45;79;79;1;1;01;4520;63;182,378260777666
5333030;1;3;1;70;63;1;24;48;1; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;73;16;16;1;2;01;7310;63;182,378260777666
5333031;1;1;1;70;63;1;8;48;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;88;53;59;1;1;01;8810;63;137,466800367919
5333034;1;2;1;70;63;1;8;24;4; ;2;6;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;1;01;5611;63;122,864566485685
5333035;1;2;1;70;63;1;20;48;1; ;2;30;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;22;39;97;1;2;01;2229;63;167,756520795089
5333037;1;3;1;70;63;1;20;48;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;31;81;81;1;2;01;3110;63;175,025682842328
5333043;1;3;1;70;47;1;36;54;1; ;2;36;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;53;53;1;2;01;5511;47;116,175321506825
5333045;1;6;1;70;19;1;4;40;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;42;87;87;1;1;01;4290;19;138,847163434486
5333047;1;3;1;70;19;1;4;54;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;41;95;95;1;1;01;4112;19;125,700977430002
5333048;1;3;1;70;19;1;60;48;1; ;2;60;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;47;45;45;1;2;01;4752;19;136,147269856957
5333049;1;2;1;70;19;1;52;45;1; ;2;54;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;64;44;44;1;2;01;6412;19;126,059186135146
5333050;1;4;1;70;19;1;3;45;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;1;01;4771;19;131,176637434002
5333054;1;2;1;70;19;1;20;45;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;47;45;45;1;2;01;4724;19;97,3740021148654
5333055;1;6;1;70;19;1;36;50;1; ;2;36;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;2;01;4112;19;109,062876571887
5333083;1;2;1;70;27;1;48;40;2; ;2;48;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;84;09;09;1;2;01;8412;27;34,6033500627343
5333087;1;1;1;70;27;1;8;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;42;59;95;1;1;01;4210;27;87,0375473303969
5333088;1;3;1;70;27;1;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;95; ;1;1;01;.;27;181,602236572132
5333091;1;2;1;70;27;1;8;30;3; ;2;250;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;97;54;54;1;1;01;9700;27;34,6033500627343
5333093;1;1;1;70;27;1;42;48;4; ;2;42;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;77;77;1;2;01;5611;27;190,318425345039
5333096;1;2;1;70;27;1;24;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;12; ;1;2;01;.;27;153,584496149821
5333097;1;2;1;70;27;1;24;40;1; ;2;24;4; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;41;02;02;1;2;01;4112;27;34,6033500627343
5333102;1;1;1;70;27;1;6;48;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1114000;2; ;84;54;54;1;1;01;8413;27;58,0508798536083
5333102;1;2;1;70;27;1;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;69;11;11;1;1;01;6920;27;58,0508798536083
5333105;1;3;1;70;68;1;12;50;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;96;59;59;1;1;01;9609;68;460,285852364041
5333106;1;1;1;70;52;1;40;48;2; ;2;3;1; ;6;2;3; ; ;1; ; ; ; ; ; ; ; ;1;2300000;5000000;1;1;86;11;11;1;2;01;8691;52;296,269107987244
5333112;1;1;1;70;52;1;3;48;4; ;2;2;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;5700000;4500000;2; ;84;09;09;1;1;01;8415;52;344,901256085673
5333112;1;2;1;70;52;1;6;48;4; ;2;52;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;84;12;12;1;1;01;8412;52;344,901256085673
5333125;1;2;1;70;50;1;8;60;1; ;2;8;1; ;4;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;13;13;1;1;01;8513;50;201,430041601491
5333137;1;2;1;70;41;1;14;48;1; ;2;14;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;97;53;54;1;2;01;9700;41;82,8039131871818
5333142;1;3;1;70;05;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877000; ; ; ;39; ;1;1;01;.;05;1112,02405035862
5333143;1;2;1;70;05;1;40;48;1; ;2;3;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;250000;877000;2; ;47;45;45;1;2;01;4711;05;1315,47943758903
5333153;1;1;1;70;50;1;8;48;1; ;2;8;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;34;45;1;1;01;4774;50;304,985277163555
5333154;1;1;1;70;50;1;30;48;1; ;2;30;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;47;33;33;1;2;01;4759;50;180,265360244311
5333159;1;2;1;70;73;1;17;48;1; ;2;2;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;05;77;1;2;01;5619;73;249,443371669401
5333160;1;3;1;70;73;1;24;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;900000;2; ;52;45;97;1;2;01;5224;73;228,638513067676
5333165;1;1;1;70;50;1;13;48;1; ;2;13;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;45;1;1;01;4731;50;325,921404133202
5333168;1;2;1;70;50;1;52;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;43;85;85;1;2;01;4321;50;242,852215160279
5333169;1;5;1;70;50;1;6;48;1; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;43;95;93;1;1;01;4330;50;314,058296948425
5333169;1;6;1;70;50;1;6;48;1; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;45;45;1;1;01;5619;50;314,058296948425
5333175;1;2;1;70;17;1;12;48;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;97;54;54;1;1;01;9700;17;223,203078638349
5333175;1;5;1;70;17;1;104;48;1; ;2;160;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;47;13;45;1;2;01;4771;17;223,203078638349
5333179;1;2;1;70;17;1;36;48;4; ;2;40;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;1;2500000;3500000;2; ;58;16;16;1;2;01;5813;17;258,82343509842
5333180;1;1;1;70;52;1;16;48;1; ;2;20;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;11;11;1;2;01;4771;52;169,828715163855
5333180;1;4;1;70;52;1;24;48;1; ;2;24;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;47;08;08;1;2;01;4741;52;169,828715163855
5333181;1;1;1;70;52;1;16;48;3; ;2;48;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;97;54;54;1;2;01;9700;52;173,853333107155
5333188;1;1;1;70;50;1;6;50;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;41;95;95;1;1;01;4111;50;272,7962367248
5333189;1;1;1;70;50;1;36;48;4; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;81;55;55;1;2;01;8121;50;174,773339334745
5333190;1;3;1;70;50;1;8;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;98;98;1;1;01;4921;50;348,11707779889
5333191;1;2;1;70;50;1;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;900000;2; ;41;95;95;1;1;01;4111;50;160,233106567863
5333192;1;1;1;70;50;1;40;48;1; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;53;55;1;2;01;8121;50;360,873496191399
5333192;1;2;1;70;50;1;3;50;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;1000000;2; ;49;98;98;1;1;01;4921;50;360,873496191399
5333194;1;1;1;70;50;1;16;50;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;55;55;1;2;01;8121;50;257,39244792716
5333194;1;2;1;70;50;1;16;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;95; ;1;2;01;.;50;257,39244792716
5333195;1;1;1;70;50;1;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;700000;2; ;81;54;54;1;1;01;8110;50;371,812543855797
5333195;1;2;1;70;50;1;16;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;33;87;87;1;2;01;3312;50;371,812543855797
5333197;1;1;1;70;17;1;3;48;1; ;2;3;4; ;9;2;5; ; ;1; ; ; ; ; ; ; ; ;2; ;2000000;1;2;84;05;05;1;1;01;8412;17;201,117489648199
5333199;1;3;1;70;73;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1700000; ; ; ;12; ;1;1;01;.;73;219,605424578893
5333241;1;1;1;70;17;1;48;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;86;34;34;1;2;01;8610;17;194,08859805119
5333250;1;1;1;70;73;1;52;48;1; ;2;112;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;3; ;84;34;58;1;2;01;8423;73;316,967122200246
5333250;1;2;1;70;73;1;54;48;4; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;56;77;77;1;2;01;5619;73;316,967122200246
5333252;1;3;1;70;73;1;28;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;47;45;45;1;2;01;4771;73;329,380700596508
5333255;1;3;1;70;73;1;40;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;41;19;19;1;2;01;4111;73;240,686003428071
5333266;1;1;1;70;47;1;8;48;1; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;96;57;57;1;1;01;9602;47;172,775171946731
5333267;1;2;1;70;47;1;16;48;1; ;2;84;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;61;45;44;1;2;01;6120;47;181,422800662057
5333270;1;3;1;70;23;1;24;48;1; ;2;26;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;86;59;59;1;2;01;8610;23;189,037520561488
5333271;1;1;1;70;23;1;32;48;3; ;2;38;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;97;54;54;1;2;01;9700;23;172,813200542983
